Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season,ranking_HT_ls,ranking_AT_ls
2019-11-09,Hertha,RB Leipzig,2,4,A,1,2,7,10,3,7,0,5,12,12,Bundesliga,0.46433,1.93927,2,9,16.130434782608695,7.068965517241379,4.07,3.93,1.84,2019/2020,11.0,3.0
2019-11-09,Mainz,Union Berlin,2,3,A,0,2,18,14,5,4,3,2,15,15,Bundesliga,2.04684,1.5394,8,6,6.310344827586207,10.076923076923077,2.18,3.43,3.43,2019/2020,12.0,-3.0
2019-11-09,Paderborn,Augsburg,0,1,A,0,1,12,13,4,5,5,7,15,12,Bundesliga,1.20293,1.09006,3,17,6.15,12.11111111111111,2.6,3.79,2.54,2019/2020,-2.0,15.0
2019-11-09,Schalke 04,Fortuna Dusseldorf,3,3,D,1,0,12,9,5,5,2,4,9,15,Bundesliga,1.23132,2.06462,3,5,10.2,10.185185185185183,1.52,4.29,6.54,2019/2020,14.0,10.0
2019-11-09,Bayern Munich,Dortmund,4,0,H,1,0,17,2,5,0,2,1,11,12,Bundesliga,3.90951,0.608676,8,1,10.0,18.272727272727277,1.55,4.66,5.53,2019/2020,1.0,2.0
2019-11-10,M'gladbach,Werder Bremen,3,1,H,2,0,17,16,7,7,3,8,17,11,Bundesliga,2.15941,1.59871,6,3,6.96969696969697,10.22222222222222,1.73,4.13,4.31,2019/2020,5.0,8.0
2019-11-10,Wolfsburg,Leverkusen,0,2,A,0,1,9,9,1,4,9,0,8,9,Bundesliga,0.571444,1.20713,4,0,10.34375,9.416666666666666,2.92,3.57,2.35,2019/2020,6.0,4.0
2019-11-10,Freiburg,Ein Frankfurt,1,0,H,0,0,13,17,7,6,8,10,7,13,Bundesliga,0.773034,1.13495,6,7,10.444444444444445,19.0,2.71,3.58,2.5,2019/2020,13.0,7.0
2019-11-22,Dortmund,Paderborn,3,3,D,0,3,18,10,7,4,10,2,8,7,Bundesliga,1.9077,2.10743,14,3,6.0,31.857142857142858,1.15,8.7,16.19,2019/2020,2.0,-2.0
2019-11-23,Ein Frankfurt,Wolfsburg,0,2,A,0,1,17,9,9,6,12,1,13,22,Bundesliga,0.848135,1.35049,9,4,3.185185185185185,9.32,2.02,3.69,3.6,2019/2020,7.0,6.0
2019-11-23,Fortuna Dusseldorf,Bayern Munich,0,4,A,0,3,12,18,1,5,8,6,8,6,Bundesliga,0.443491,3.81728,3,14,32.38461538461539,5.565217391304348,14.1,7.76,1.18,2019/2020,10.0,1.0
2019-11-23,Leverkusen,Freiburg,1,1,D,1,1,27,7,9,2,13,3,9,14,Bundesliga,3.96943,1.25233,7,4,6.85,19.7,1.49,4.68,6.2,2019/2020,4.0,13.0
2019-11-23,Union Berlin,M'gladbach,2,0,H,1,0,11,12,6,2,2,6,12,7,Bundesliga,1.49758,0.95814,4,7,15.4,10.866666666666667,3.48,3.65,2.09,2019/2020,-3.0,5.0
2019-11-23,Werder Bremen,Schalke 04,1,2,A,0,1,16,10,5,5,1,3,12,15,Bundesliga,1.7254,0.660152,7,4,8.575757575757576,9.333333333333334,2.46,3.63,2.78,2019/2020,8.0,14.0
2019-11-23,RB Leipzig,FC Koln,4,1,H,3,1,20,6,8,1,13,3,9,15,Bundesliga,2.57218,0.886616,22,3,9.833333333333334,30.071428571428573,1.34,5.61,8.16,2019/2020,3.0,-1.0
2019-11-24,Augsburg,Hertha,4,0,H,2,0,14,5,5,1,3,3,8,18,Bundesliga,1.76885,0.801011,2,2,11.130434782608695,14.166666666666666,2.58,3.56,2.62,2019/2020,15.0,11.0
2019-11-24,Hoffenheim,Mainz,1,5,A,0,1,22,11,8,5,14,3,10,13,Bundesliga,2.15404,2.10482,9,4,9.117647058823527,11.407407407407408,1.66,4.2,4.87,2019/2020,9.0,12.0
2019-11-29,Schalke 04,Union Berlin,2,1,H,1,1,17,17,8,7,7,4,12,13,Bundesliga,1.27089,1.65551,9,1,11.15,12.391304347826088,1.71,3.9,4.88,2019/2020,14.0,-3.0
2019-11-30,FC Koln,Augsburg,1,1,D,0,1,13,11,6,4,4,8,15,17,Bundesliga,1.07293,2.28696,8,5,8.863636363636363,12.0,1.91,3.92,3.8,2019/2020,-1.0,15.0
2019-11-30,Hertha,Dortmund,1,2,A,1,2,13,7,3,5,2,2,13,8,Bundesliga,0.751161,1.48269,7,9,8.969696969696969,15.95,4.06,3.96,1.83,2019/2020,11.0,2.0
2019-11-30,Hoffenheim,Fortuna Dusseldorf,1,1,D,1,0,12,11,6,3,2,5,11,16,Bundesliga,2.69182,0.884323,6,3,14.85,11.285714285714286,1.7,3.96,4.91,2019/2020,9.0,10.0
2019-11-30,Paderborn,RB Leipzig,2,3,A,0,3,8,18,4,6,6,6,10,13,Bundesliga,1.55563,1.79269,4,10,9.193548387096774,8.297297297297296,7.37,5.51,1.36,2019/2020,-2.0,3.0
2019-11-30,Bayern Munich,Leverkusen,1,2,A,1,2,24,11,11,7,8,2,9,16,Bundesliga,2.24624,1.44804,16,3,4.607142857142857,20.5,1.28,6.0,9.46,2019/2020,1.0,4.0
2019-12-01,M'gladbach,Freiburg,4,2,H,1,1,22,13,13,5,2,3,13,15,Bundesliga,5.28668,1.5268,19,3,15.647058823529411,14.166666666666666,1.55,4.37,5.57,2019/2020,5.0,13.0
