Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season,ranking_HT_ls,ranking_AT_ls
2014-11-22,Paderborn,Dortmund,2,2,0,2,D,8,13,4,5,1,6,15,11,Bundesliga,0.638364,1.92358,1,12,15.5,7.366666666666666,7.16,4.74,1.43,2014/2015,-2,2
2014-11-22,Schalke 04,Wolfsburg,3,2,3,1,H,9,17,6,2,2,7,10,16,Bundesliga,1.12048,1.23361,4,8,15.863636363636363,6.84,3.05,3.4,2.31,2014/2015,3,5
2014-11-23,Hamburg,Werder Bremen,2,0,0,0,H,14,12,5,7,6,5,24,20,Bundesliga,2.60596,1.14769,6,2,4.0,10.357142857142858,1.92,3.63,3.98,2014/2015,16,12
2014-11-23,Stuttgart,Augsburg,0,1,0,0,A,9,17,1,6,6,3,14,23,Bundesliga,0.382848,2.06226,1,5,10.0,5.433333333333334,2.49,3.37,2.86,2014/2015,15,8
2014-11-28,Freiburg,Stuttgart,1,4,1,1,A,16,18,6,9,9,7,12,13,Bundesliga,1.49535,3.36392,11,3,10.61904761904762,12.461538461538462,2.33,3.46,3.04,2014/2015,14,15
2014-11-29,Augsburg,Hamburg,3,1,0,1,H,13,9,8,3,4,4,13,23,Bundesliga,2.79213,1.12309,0,9,5.882352941176471,4.261904761904762,2.03,3.48,3.83,2014/2015,8,16
2014-11-29,Hertha,Bayern Munich,0,1,0,1,A,4,15,1,5,2,3,17,8,Bundesliga,0.25622,1.94047,1,19,20.6,4.269230769230769,16.52,7.0,1.2,2014/2015,11,1
2014-11-29,Hoffenheim,Hannover,4,3,2,1,H,16,13,7,5,5,3,14,28,Bundesliga,1.99562,1.81072,7,7,6.704545454545454,3.3823529411764706,1.72,4.02,4.7,2014/2015,9,10
2014-11-29,Leverkusen,FC Koln,5,1,1,1,H,25,5,10,1,7,3,15,9,Bundesliga,2.37812,0.950144,7,1,4.885714285714286,24.916666666666668,1.53,4.28,6.52,2014/2015,4,-1
2014-11-29,Schalke 04,Mainz,4,1,2,1,H,14,22,9,10,2,5,16,12,Bundesliga,1.55889,2.04969,6,11,12.2,7.555555555555555,1.95,3.6,3.97,2014/2015,3,7
